front passenger seat;child restraint fixing system,7
child restraint fixing system;belt,5
child restraint fixing system;backrest,4
airbag;child restraint fixing system,3
airbag;front passenger seat,3
"front, knee and side airbag;front passenger seat",2
child seat;backrest,2
front passenger seat;front passenger airbag,2
passenger seat;belt,2
head restraint;upper retaining strap,2
window;door,2
accid;belt,2
child restraint fixing system;accid,2
front passenger seat;backrest width,2
upper retaining strap;child restraint fixing system,2
"front, knee and side airbag;child restraint fixing system",2
seat;backrest,2
child restraint fixing system;front passenger airbag,2
front passenger seat;backrest,2
